# timestamps [seconds],pts
45.664803,2848365
45.716585,2851758
45.755080,2854281
45.794446,2856861
45.836176,2859596
45.878113,2862344
45.915342,2864784
45.957757,2867564
45.990208,2869690
46.039238,2872904
46.073154,2875126
46.120161,2878207
46.148041,2880034
46.187256,2882604
46.226680,2885188
46.265226,2887714
46.305381,2890345
46.349540,2893239
46.396233,2896299
46.438306,2899056
46.477639,2901634
46.516493,2904180
46.556063,2906774
46.596938,2909452
46.634362,2911905
46.673977,2914501
46.717290,2917340
46.748691,2919398
46.785450,2921807
46.827718,2924577
46.868237,2927232
46.907204,2929786
46.950146,2932600
46.995474,2935570
47.036101,2938233
47.076253,2940864
47.118331,2943622
47.156517,2946124
47.195801,2948699
47.231468,2951036
47.270450,2953591
47.317802,2956694
47.354733,2959115
47.389333,2961382
47.427079,2963856
47.465121,2966349
47.506912,2969088
47.549538,2971881
47.594573,2974832
47.638944,2977740
47.675258,2980120
47.713581,2982632
47.757007,2985478
47.796615,2988073
47.841036,2990984
47.874462,2993175
47.920159,2996170
47.952167,2998267
47.985940,3000481
48.025366,3003064
48.064408,3005623
48.110304,3008631
48.155014,3011561
48.193810,3014103
48.231274,3016559
48.277168,3019566
48.309735,3021701
48.348645,3024251
48.389644,3026937
48.429882,3029574
48.468772,3032123
48.511034,3034893
48.557298,3037925
48.584549,3039711
48.624754,3042345
48.668219,3045194
48.703936,3047535
48.748647,3050465
48.789484,3053141
48.833530,3056027
48.875357,3058769
48.913156,3061246
48.954835,3063977
48.995154,3066620
49.034153,3069175
49.073975,3071785
49.117089,3074611
49.156335,3077183
49.185012,3079062
49.226862,3081805
49.267521,3084469
49.305659,3086968
49.346251,3089629
49.395141,3092833
49.432494,3095281
49.481140,3098469
49.515475,3100719
49.556031,3103377
49.597964,3106125
49.633824,3108475
49.676970,3111302
49.713189,3113676
49.757857,3116603
49.794549,3119008
49.827193,3121147
49.867129,3123764
49.903443,3126144
49.944625,3128843
49.994979,3132143
50.034299,3134720
50.073982,3137321
50.113484,3139909
50.157084,3142767
50.196151,3145327
50.234605,3147847
50.272615,3150338
50.315349,3153138
50.353815,3155659
50.397949,3158552
50.428225,3160536
50.466188,3163024
50.505381,3165592
50.543782,3168109
50.593701,3171380
50.634186,3174033
50.675839,3176763
50.714347,3179287
50.753558,3181857
50.795883,3184630
50.835589,3187232
50.875265,3189833
50.915641,3192479
50.954568,3195030
50.991694,3197463
51.035893,3200359
